English_sentences,Balochi_sentences
Did Tom confess?,Thámá wati mayár mannet?
Didn't Tom sing?,Thámá sawt najat?
Don't apologize.,Paheli malóth.
Don't bother me.,Maná béwár makan.
Drink more beer.,Géshter biar bwar.
Drink your milk.,Wati shirán bwar.
Enjoy your food.,Wash warátay.
Enjoy your trip.,Tai sapar wash bát.
Even Tom smiled.,Degerá bell Thámá ham bechkandet.
Everyone agreed.,Haryakkéá mannet.
Everyone looked.,Haryakkéá cháret.
Everyone smiled.,Haryakkéá bechkandet.
Go to sleep now.,Ni boraw bwaps.
Have a doughnut.,Mangalué bwar.
Have some pizza.,Kammé pizzá bwar.
He began to run.,Á tachagá lagget.
He hit the mark.,Áiay neshánagá lagget.
He looked about.,Áiá chapp o chágerdá cháret.
He stared at me.,Áiá maná rók róká cháret.
He was outraged.,Á hezhm geptagat.
He was standing.,Á óshtátagat.
He's photogenic.,Áiay aks wassh dar káyant.
How'd you do it?,Taw chetawr kotagat?
"Hurry up, girls.","Goshád kanet, jenekkán."
I bit my tongue.,Man wati lellek gasset.
I burped loudly.,Man zórán bákáret.
I didn't scream.,Man nachiwalet.
I got no answer.,Maná hecch passaw naraset.
I looked at Tom.,Man Thám cháret.
I never laughed.,Man beh nakandet.
I protected Tom.,Man Thám paházet.
I said I'm fine.,Man gosht man barábar án.
I saw the movie.,Man támor cháret.
I shook my head.,Man wati sar chandhet.
Green suits you.,Shinz pa taw barábar ent.
He began to cry.,Á gréwagá lagget.
He got the ball.,Áia ból raset.
I'm feeling fit.,Man máragá án ke barábar án.
I'm going to go.,Man rawán.
It's all I have.,Mani kerrá bass hamesh ant.
It's fine today.,Marchi mósom barábar ent.
That's the snag.,Adhánd hamesh ent.
Turn off the TV.,Thiwiá band kan.
Turn the TV off.,Thiwiá band kan.
You let me down.,Taw maná dróhet.
You're forgiven.,Taw pahel ay.
He will survive.,Á mánit.
I intend to try.,Man erádah kotag ke johd kanán.
Tom nearly died.,Thám meragi but.
Do you train us?,Taw márá hélkári day?
She trained you.,Áiá tará hélkári dát.
We are trainees.,Má hélger én.
He is a trainee.,Á hélgeré.
He was snorting.,Á garráragá at.
Ask again later.,Ranterá padá jost kan.
Can I come over?,Man tai lógá byáyán?
Can I pay later?,Man ranterá zarrán bedayán?
Can you skip me?,Taw maná sargwaz kot kanay?
Come back later.,Padá ranterá byá.
How rich is Tom?,Thám chincho sér ent?
How sick is Tom?,Thám chincho nádráh ent?
How small is it?,É chincho kasán ent?
I get up at six.,Man shashá pád káyán.
I might be back.,Man balkén padá byáyán.
I remembered it.,Maná é yád but.
I wake up early.,Man mahlaw pád káyán.
I want the same.,Man ham hameshiá lóthán.
I'll come alone.,Man éoká káyán.
I'll come by 10.,Man dán 10á káyán.
I'll come early.,Man mahlaw káyán.
I'm catching on.,Man sarpad bayánán.
I'm not a crook.,Man béimáné nayán.
Do you remember?,Tará yád ent?
How fascinating!,Chincho delsách ent!
How interesting!,Chincho delchasp ent!
It's not so far.,É incho dir naent.
Prices are high.,Kimat borz ant.
We met a writer.,Má gón nebeshtakáréá dochár kaptén.
We are students.,Má tálebé én.
We are studying.,Má wánagá én.
This is my book.,É mani ketáb ent.
Where is my pen?,Mani kalam koj ent?
Tom is a doctor.,Thám dáktaré.
Tom is not home.,Thám lógá naent.
Help the doctor.,Dáktará komakk kan.
The sea is deep.,Daryá johl ent.
Is this the sea?,É zer ent?
The boat is big.,Bójig mazan ent.
This is my boat.,É mani bójig ent.
Tom needs a net.,Thámá Máhóré pakár ent.
Show me the net.,Maná Máhóré pésh dár.
Fishing is good.,Máhig gerag sharr ent.
Tom is safe now.,Ni Thám paházetag.
This is my land.,É mani zemín ent.
Help the farmer.,Zemíndárá madat kan.
We work all day.,Má drostén rochá kár kanén.
This is my work.,É mani kár ent.
We provide help.,Má madat pojjáénén.
I teach English.,Man Éngrézi wánénán.
Clean this room.,É kothiá sáp kan.
Build a website.,Websáithé addh kan.
Tom is a lawyer.,Thám kánundáné.
Tom serves food.,Thám waráki hezmat kant.
Cook the dinner.,Shámá addh kan.
Clean the table.,Thébalá sáp kan.
Drive carefully.,Hayáldáriá gón haláén..
Answer the call.,Pawnay passawá beday.
The war is over.,Jang halás but.
He is a soldier.,A sipáhié.
The army is big.,Sepáh mazan ent.
The army is big.,Pój mazan ent.
We need weapons.,Márá siliáh pakár ent.
Show me the gun.,Maná tupaká pésh dár.
Show me the gun.,Maná topangá pésh dár.
Shut your mouth!,Wati dapá band kan!
Don't insult me!,Maná béezzat makan!
Stop teasing me!,Maná konnat makan!
You are a thief!,Taw dozzé ay!
You ugly person!,Taw badrangén mardom!
You weak coward!,Taw nezór bozdel!
That is a curse!,É nálaté!
You betrayed us!,Taw márá dagá dát!
He swears badly!,Á harábén sawgend wárt!
It is hot today.,Marchi garm ent.
The team trains.,Thím hélkári kant.
I love football.,Maná pothbál dóst bit.
He has the ball.,Áiay kerrá ból ent.
We won the game!,Má layb katthet!
We see the game.,Má laybá chárén.
The cup is gold.,Kapp telah ent.
They tried hard.,Áyán sakk johd kot.
Tom is a lawyer.,Thám wakilé.
Tom is innocent.,Thám bégonáh ent.
I am not guilty.,Man mayárig nayán.
Tom needs proof.,Thámá sabut pakár ent.
Tom wants proof.,Thám sabut lóthit.
He was arrested.,Á dazgir but.
This is a crime.,É jormé.
Is this culture?,É dód ent?
They used a gun.,Áyán topang kármarz kot.
A dog is barking.,Kochekké chángagá ent.
A girl phoned me.,Jenekkéá maná pawn kot.
Any book will do.,"Har wadhén ketábé bit, rawá ent."
Are they friends?,Á sangat ant?
Are you a lawyer?,Taw wakilé ay?
Are you a maniac?,Taw déwánagé ay?
Are you in haste?,Taw eshtápiay?
Are you Japanese?,Shomá Jápáni et?
Are you new here?,Taw edá nókay?
"Are you new, too?",Taw ón nókay?
"Are you new, too?",Taw ham nókay?
Are you with Tom?,Taw Thámay hamráhay?
Aren't you happy?,Taw wassh ay?
Aren't you happy?,Taw dazgatt nayay?
"At last, he came.","Ákerbáki, á atk."
Avoid cigarettes.,Cha segréthá goréz bekan.
Be more flexible.,Géshter narmtáb bay.
Be more flexible.,Géshter narmtáb bi.
Brush your teeth.,Wati dantánán borussh kan.
Call me tomorrow.,Bándá maná pawné bejan.
Call me tomorrow.,Bándá maná pawn kan.
Can we stay here?,Má edá jallet kanén?
Can we trust you?,Má tai sará óst kot kanén?
Can you bring it?,Taw áórty kanay?
Can you prove it?,Taw eshiá sábet kot kanay?
Cherries are red.,Chéri sohr ant.
Clean the mirror.,Ádénká sapá kan.
Come and help us.,Byá o márá madat kan.
Come sit with us.,Byá gón má benend.
Come to my house.,Mani gesá byá.
Continue digging.,Kóchán bay.
Continue digging.,Kóchán bi.
Continue working.,Kár kanán bay.
Continue working.,Kár kanán bi.
Control yourself.,Watá bedár.
Cut the potatoes.,Batháthahán borr.
Cut the potatoes.,Batháthokán borr.
Did you meet her?,Taw gón áiá dochár kaptay?
Do it right away.,Eshiá anni bekan.
Do what Tom says.,Hamá wadh bekan ke Thám goshit.
Do what you will.,Harchi kanay bekan.
Do you know them?,Taw áyán zánay?
Do you like that?,Tará é dóst bit?
Do you live here?,Taw edá jahmenend ay?
Do you trust Tom?,Tará Thámay sará óst kant?
Do your own work.,Wati jenday kárá bekan.
Don't exaggerate.,Géshbayáni makan.
Don't look at me.,Maná machár.
Don't use my pen.,Máni kalamá kármarz makan.
Don't yell at me.,Mani sará kukkár makan.
Eat your veggies.,Wati sabzián bewar.
Everyone noticed.,Harkasá delgósh kot.
Finish your milk.,Wati shirán halás kan.
Get back to work.,Padá kárá boraw.
Give me a chance!,Maná móhé beday!
Give me the book.,Ketábá maná day.
Has he been shot?,Áiá tir wártag?
He doesn't smoke.,Á segréth nakasshit.
He found my bike.,Áiá mani tháloki saynkal ch et.
He found my bike.,Áiá mani tháloki saynkal dist.
He has long hair.,Áiay mid dráj ant.
He heard a shout.,Áiá kukkáré eshkot.
He is a beginner.,Á nókáré.
He is my brother.,Á mani brát ent.
He is not stupid.,Á norré naent.
He is not stupid.,Á ahmaké naent.
He is past forty.,Á chellá borz ent.
He likes fishing.,Áiá máhig gerag dóst bit.
He likes oranges.,Áiá mósombi dóst bit.
He likes to hunt.,Áiá shekár wassh bit.
He loves rituals.,Áiá rasm o rawáj dóst bant.
He must love you.,Á allam tará dóst dárit.
He must love you.,Áiá taw allamá dóst bay.
He screams a lot.,Á báz kukkár kant.
He shut the door.,Áiá darwázag band kot.
He speaks Arabic.,Á arabiá gapp jant.
He used his head.,Áiá wati sar kár bast.
He writes Arabic.,Á arabiá nebeshtah kant.
He's a biologist.,Á zenzánté.
He's a cat lover.,Á pesshidósté.
He's over thirty.,Áiay omr siá borz ent.
He's over thirty.,Á siá borz ent.
Here is the bill.,Bell esh ent.
Here is your bag.,Tai bayg esh ent.
Here is your key.,Tai kelit esh ent.
Here's my wallet.,Mani bathwá esh ent.
How about a walk?,Ché goshay gashté begardén?
How about a walk?,Ché goshay pádrawié bekanén?
"How are you, Tom?","Chón ay taw, Thám?"
How embarrassing!,Chónén hajálati gappé!
How long is this?,É chinchok dráj ent?
How tall are you?,Tai kadd chinchok ent?
How tall you are!,Taw chón borzay!
How unlucky I am!,Man chónén badbahté án!
How unlucky I am!,Man chónén bébahté án!
How you've grown!,Taw chón rostagay!
I agree with him.,Man gón áiá tepák án.
I agree with him.,Man áiay gappá mannán.
I agree with you.,Man gón taw tepák án.
I agree with you.,Man tai gappá mannán.
I almost drowned.,Man bokkagi bitán.
I also like cake.,Maná kék ón dóst bit.
I also like cake.,Maná kék ham wassh bit.
I am from Norway.,Man nárway mardomé án.
I am from Norway.,Man Nárwayayg án.
I am from Russia.,Man rusay mardomé án.
I am from Russia.,Man Rusayg án.
I am not thirsty.,Man tonnig nayán.
I am only joking.,Man bass maskará kanagá án.
I am your father.,Man tai petán.
I ate the cheese.,Man jeben wárt.
I believe in God.,Maná Hodáay sará yakin ent.
I believe in you.,Maná tai sará báwar ent.
I believe in you.,Maná tai sará yakin ent.
I bought a watch.,Man gadhiálé zort.
I can see it now.,Man ni eshiá dist kanán.
I couldn't sleep.,Man wáb nakaptán.
I didn't like it.,Maná é dóst nabut.
I don't know her.,Man áiá nazánán.
I don't know him.,Man áiá nazánán.
I don't know why.,Man nazánán parchá.
I don't know you.,Man tará nazánán.
I don't like her.,Maná á dóst nabit.
I don't love you.,Taw maná dóst nabay.
I don't think so.,Mani hayálá chó naent.
I go to the park.,Man párká rawán.
I hate chemistry.,Maná kémyá dóst nabit.
I hate chemistry.,Maná cha kémyáyá naprat ent.
I have a brother.,Maná bráté hast.
I have a problem.,Maná jédhahé hast.
I have no doubts.,Maná hecch shakk naent.
I have questions.,Maná jost hast.
I have to go now.,Ni maná rawagi ent.
I knit every day.,Man har róch pazhmgwápi kanán.
I knit every day.,Man harróch pazhmgwápi kanán.
I know I'm wrong.,Man zánán man rad án.
I know only this.,Man bass haminchok zánán.
I know your name.,Man tai námá zánán.
I like chocolate.,Maná chákléth dóst bit.
I like chocolate.,Maná chákléth wassh bit.
I like red roses.,Maná sohrén goláb dóst bit.
I like them both.,Maná doén dóst bant.
I like your plan.,Maná tai dátagén shawr dóst bit.
I like your plan.,Maná tai shawr dóst bit.
I like your work.,Maná tai kár dóst bit.
I live near here.,Man hamedá nazzikká jahmenend án.
I look up to you.,Mani delá pa taw ezzat hast.
I love Halloween.,Maná hálwin dóst bit.
I love Halloween.,Maná Hálwin wassh bit.
I made a mistake.,Man radié kot.
I made her angry.,Man á shodig kot.
I made her angry.,Man á zahr kot.
I made it myself.,Man é wat jódh kot.
I make€100 a day.,Man róché €100 gerán.
I miss you badly.,Maná pa taw sakk zahir kant.
I missed my stop.,Man wati estháp gwázént.
I missed the bus.,Man basá pasht kaptán.
I need first aid.,Maná pasthaydh darkár ent.
I need first aid.,Man pasthaydh lóthán.
I need some rest.,Maná kammé árám pakár ent.
I need some rest.,Man kammé árám lóthán.
I need your help.,Maná tai madat darkár ent.
I need your help.,Man tai madatá lóthán.
I never eat meat.,Man beh gósht nawarán.
I pointed at him.,Man áiay némagá eshárah kot.
I ran for a mile.,Man milléá tatkán.
I read your book.,Man tai ketáb want.
I said I'm sorry.,Man gosht maná bebaksh.
I saw everything.,Man harchi dist.
I still hate you.,Maná angat gón taw naprat ent.
I still hate you.,Maná angat cha taw naprat ent.
I still love her.,Maná angat á dóst bit.
I still miss Tom.,Maná angat pa Thámá zahir kant.
I strongly agree.,Man belkol mannán.
I study medicine.,Man tebb wánán.
I waited for you.,Man pa taw wadár kot.
I walk every day.,Man har róch gardán.
I walk every day.,Man harróch pádrawi kanán.
I walk to school.,Man eskólá pádáná rawán.
I want vengeance.,Man bér gerag lóthán.
I was happy then.,Á wahdi man galatán.
I will buy a car.,Man gádhié gerán.
I will shoot him.,Man áiá tirbár kanán.
I won't harm you.,Man tará táwán nadayán.
I'll contact you.,Man gón taw rahwat kanán.
I'll eat it here.,Man eshiá hamedá warán.
I'll eat it here.,Man hamedá warány.
I'm a bit hungry.,Man kammé shodig án.
I'm a translator.,Man rajánkáré án.
I'm from America.,Man Amrikahay mardomé án.
I'm from America.,Man Amrikahayg án.
I'm going to run.,Man tachán bayán.
I'm going to run.,Man tachán bán.
I'm here for you.,Man tai wástá edá án.
I'm just curious.,Man bass zánag lóthán.
I'm just looking.,Man bass cháragá án.
I'm not a lawyer.,Man wakilé nayán.
I'm really happy.,Man pa rásti wassh án.
I'm really happy.,Man rásti wassh án.
I'm really tired.,Man rásti dam bortag.
I'm very popular.,Man sakk námán.
I'm very thirsty.,Man sakk tonnig án.
I'm your partner.,Man tai sharidár án.
I'm your partner.,Man tai jódhidár án.
I've lost my bag.,Man wati bayg gár kotag.
I've lost my pen.,Man wati kalam gár kotag.
Is that an order?,É hogmé?
Is that your car?,É tai kárgádhi ent?
Is that your car?,É tai gádhi ent?
Is that your mom?,É tai mát ent?
Is the meat good?,Gósht sharr ent?
Is this your car?,É tai kárgádhi ent?
Is this your car?,É tai gádhi ent?
Is this your pen?,É tai kalam ent?
It can't be true.,É rástén gappay wadhá naent.
It can't be true.,É rást bit nakant.
It may rain soon.,Balkén zittán hawr bebit.
It was a mistake.,É radié at.
It was at school.,É eskólá but.
It was not cheap.,É arzán nayat.
It's a good book.,É sharrén ketábé.
It's a good deal.,É sharrén sawdáé.
It's a rainy day.,É hawr o jambarién róché.
It's a short cut.,É gwandhborré.
It's been stolen.,É dozzag butag.
It's my sister's.,É mani gohárayg ent.
It's now my turn.,Ni mani bárig ent.
It's on the sofa.,É sópahay sará ent.
It's second hand.,É némsóné.
It's sunny today.,Marchi róch ent.
Its color is red.,Eshiay rang sohr ent.
Let me add water.,Bell man ápy mán kanán.
Let's have a try.,Byá johdé kanén.
Let's play cards.,Byá pattái kanén.
Listen carefully.,Sharriá gósh dár.
"Listen to me, OK?","Mani gappá gósh dár, sharr?"
Love is immortal.,Mehr namirán ent.
"Make way, please.","Mehrabáni kan, kenz."
Make your choice.,Wati pasondá bekan.
Mary slapped Tom.,Maryamá Thámárá shahmáté jat.
May I come again?,Man padá byá án?
May I smoke here?,Man edá segréth bekasshán?
My car is German.,Mani gádhi Jarmaniayg ent.
My office is big.,Mani kárges mazan ent.
My scarf is blue.,Mani goshán sabz ent.
My stomach hurts.,Mani maydah dard kant.
My suit is white.,Mani darés espét ent.
My tie is orange.,Mani thái nárenjié.
No one helped me.,Kassá mani madat nakot.
No one is coming.,Kass áyagá naent.
No one loves war.,Kassá jang dóst nabit.
No one will know.,Kass nazánt.
"No pain, no gain.",Béranj o béganj.
"No pain, no gain.","Béranji, béganji."
Nobody is hungry.,Kass shodig naent.
Nobody's perfect.,Kass sarjam naent.
Nobody's perfect.,Kass kámel naent.
Nothing happened.,Hecch nabut.
Please come here.,Mehrabáni kan edá byá.
Please don't ask.,Mehrabáni kan jost makan.
Please don't cry.,Mehrabáni kan magré.
Please let me go.,Mehrabáni kan maná rawagá bell.
Please make sure.,Mehrabáni kan pakká kan.
Please step back.,Mehrabáni kan pad kenz.
